distribution_id,dtau_type,S_star_id,S,Sigma_id,distribution,tau,sigma_id,d,departure_id,stat_id,quantiles_id,zeta1_id,quantile_id,alpha,epsilon,norm,power
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.6,Supremum,0.8396
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.7,Euclidean,0.4088
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.7,Euclidean,0.2628
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.7,Euclidean,0.167
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.7,Supremum,0.9448
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.7,Supremum,0.9134
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.7,Supremum,0.8778
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.8,Euclidean,0.4412
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.8,Euclidean,0.2902
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.8,Euclidean,0.1836
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.8,Supremum,0.9632
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.8,Supremum,0.9406
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.8,Supremum,0.9064
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.9,Euclidean,0.4716
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.9,Euclidean,0.3192
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.9,Euclidean,0.2024
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.9,Supremum,0.9734
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.9,Supremum,0.9614
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.9,Supremum,0.9344
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3,Euclidean,0.5104
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3,Euclidean,0.3472
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3,Euclidean,0.2292
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3,Supremum,0.9798
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3,Supremum,0.9712
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3,Supremum,0.9568
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.1,Euclidean,0.5436
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.1,Euclidean,0.3814
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.1,Euclidean,0.2542
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.1,Supremum,0.9876
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.1,Supremum,0.9786
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.1,Supremum,0.9688
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.2,Euclidean,0.581
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.2,Euclidean,0.407
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.2,Euclidean,0.2832
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.2,Supremum,0.9936
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.2,Supremum,0.9868
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.2,Supremum,0.9768
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.3,Euclidean,0.614
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.3,Euclidean,0.4424
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.3,Euclidean,0.3144
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.3,Supremum,0.996
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.3,Supremum,0.9926
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.3,Supremum,0.9856
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.4,Euclidean,0.6496
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.4,Euclidean,0.4806
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.4,Euclidean,0.3464
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.4,Supremum,0.9984
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.4,Supremum,0.9956
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.4,Supremum,0.9922
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.5,Euclidean,0.6882
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.5,Euclidean,0.5194
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.5,Euclidean,0.3798
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.5,Supremum,0.9992
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.5,Supremum,0.9978
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.5,Supremum,0.9954
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.6,Euclidean,0.7214
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.6,Euclidean,0.5606
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.6,Euclidean,0.4112
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.6,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.6,Supremum,0.999
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.6,Supremum,0.9972
