n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,rejection_rate,pvalue_NA_rate,N,psd_rate,pd_rate
150,50,0.3,Sh,SbJ,Supremum,0.2,single,normal,92.52,0,2500,,1
150,50,0.3,I,SbJ,Supremum,0.2,single,normal,69.32,0,2500,,1
50,50,0.3,Sh,SbJ,Euclidean,0.2,single,normal,1.2,0,2500,,1
50,50,0.3,I,SbJ,Euclidean,0.2,single,normal,3.36,0,2500,,1
50,50,0.3,Sh,SbJ,Supremum,0.2,single,normal,19.12,0,2500,,1
50,50,0.3,I,SbJ,Supremum,0.2,single,normal,7.92,0,2500,,1
150,50,0.3,Sh,SbJ,Euclidean,0.1,column,normal,6.2,0,2500,,1
150,50,0.3,I,SbJ,Euclidean,0.1,column,normal,62.6,0,2500,,1
150,50,0.3,Sh,SbJ,Supremum,0.1,column,normal,7.64,0,2500,,1
150,50,0.3,I,SbJ,Supremum,0.1,column,normal,68.88,0,2500,,1
100,50,0.6,Sh,SbJ,Euclidean,0.2,column,normal,91.12,0,2500,,1
100,50,0.6,I,SbJ,Euclidean,0.2,column,normal,100,0,2500,,1
100,50,0.6,Sh,SbJ,Supremum,0.2,column,normal,97.84,0,2500,,1
100,50,0.6,I,SbJ,Supremum,0.2,column,normal,100,0,2500,,1
50,50,0.6,Sh,SbJ,Euclidean,0.1,single,normal,0,0,2500,,1
50,50,0.6,I,SbJ,Euclidean,0.1,single,normal,0.6,0,2500,,1
50,50,0.6,Sh,SbJ,Supremum,0.1,single,normal,10.76,0,2500,,1
50,50,0.6,I,SbJ,Supremum,0.1,single,normal,5,0,2500,,1
50,50,0.3,Sh,SbJ,Euclidean,0.1,column,normal,0.36,0,2500,,1
50,50,0.3,I,SbJ,Euclidean,0.1,column,normal,13.88,0,2500,,1
50,50,0.3,Sh,SbJ,Supremum,0.1,column,normal,4.2,0,2500,,1
50,50,0.3,I,SbJ,Supremum,0.1,column,normal,20.68,0,2500,,1
100,50,0.6,Sh,SbJ,Euclidean,0.1,single,normal,0.44,0,2500,,1
100,50,0.6,I,SbJ,Euclidean,0.1,single,normal,1.72,0,2500,,1
100,50,0.6,Sh,SbJ,Supremum,0.1,single,normal,43.84,0,2500,,1
100,50,0.6,I,SbJ,Supremum,0.1,single,normal,11.84,0,2500,,1
